history_id,stable_plot_id,remeasurement_component_id,state,CONDID,first_PLT_CN,last_PLT_CN,first_measurement_date_lower,first_measurement_date_upper,first_measurement_date,last_measurement_date_lower,last_measurement_date_upper,last_measurement_date,history_date_source,first_included_month,last_included_month,expected_CWD_months,observed_CWD_months,cumulative_site_CWD_mm,mean_monthly_site_CWD_mm,min_monthly_site_CWD_mm,max_monthly_site_CWD_mm,cumulative_site_CWD_complete,cumulative_site_CWD_status
fia_component_v1|4_1_13_86982|2231901010690|2,4_1_13_86982,fia_component_v1|4_1_13_86982|2231901010690,AZ,2,2231901010690,547678512126144,2001-03-12,2001-03-12,2001-03-12,2021-04-28,2021-04-28,2021-04-28,exact_day_both_endpoints,2001-04-01,2021-04-01,241,241,38928.8,161.530290456432,5.8,302.5,TRUE,complete
fia_component_v1|4_2_15_86998|2233076010690|1,4_2_15_86998,fia_component_v1|4_2_15_86998|2233076010690,AZ,1,2233076010690,547679010126144,2001-03-15,2001-03-15,2001-03-15,2022-12-01,2022-12-01,2022-12-01,exact_day_both_endpoints,2001-04-01,2022-12-01,261,261,38360.6,146.975478927203,0,276,TRUE,complete
fia_component_v1|4_1_13_82467|2231626010690|1,4_1_13_82467,fia_component_v1|4_1_13_82467|2231626010690,AZ,1,2231626010690,547678890126144,2001-04-24,2001-04-24,2001-04-24,2022-01-20,2022-01-20,2022-01-20,exact_day_both_endpoints,2001-05-01,2022-01-01,249,249,37883.3,152.141767068273,0,276.1,TRUE,complete
fia_component_v1|4_2_15_81452|2232352010690|1,4_2_15_81452,fia_component_v1|4_2_15_81452|2232352010690,AZ,1,2232352010690,547678992126144,2001-11-29,2001-11-29,2001-11-29,2022-01-19,2022-01-19,2022-01-19,exact_day_both_endpoints,2001-12-01,2022-01-01,242,242,37691.3,155.749173553719,0,295.1,TRUE,complete
fia_component_v1|4_2_25_83640|2252164010690|1,4_2_25_83640,fia_component_v1|4_2_25_83640|2252164010690,AZ,1,2252164010690,667885545126144,2002-04-09,2002-04-09,2002-04-09,2023-12-13,2023-12-13,2023-12-13,exact_day_both_endpoints,2002-05-01,2023-12-01,260,260,36870.6,141.81,0,274.7,TRUE,complete
fia_component_v1|4_1_21_85104|2236065010690|1,4_1_21_85104,fia_component_v1|4_1_21_85104|2236065010690,AZ,1,2236065010690,547679263126144,2001-03-13,2001-03-13,2001-03-13,2021-10-13,2021-10-13,2021-10-13,exact_day_both_endpoints,2001-04-01,2021-10-01,247,247,36823.7,149.083805668016,0,271.7,TRUE,complete
fia_component_v1|4_1_13_81710|2246643010690|1,4_1_13_81710,fia_component_v1|4_1_13_81710|2246643010690,AZ,1,2246643010690,667885963126144,2002-03-26,2002-03-26,2002-03-26,2023-10-21,2023-10-21,2023-10-21,exact_day_both_endpoints,2002-04-01,2023-10-01,259,259,36737.7,141.844401544402,0,275.9,TRUE,complete
fia_component_v1|4_2_15_91452|2233540010690|1,4_2_15_91452,fia_component_v1|4_2_15_91452|2233540010690,AZ,1,2233540010690,547678921126144,2001-03-14,2001-03-14,2001-03-14,2021-04-26,2021-04-26,2021-04-26,exact_day_both_endpoints,2001-04-01,2021-04-01,241,241,35572.6,147.604149377593,0,275.1,TRUE,complete
fia_component_v1|4_2_25_82110|2236670010690|1,4_2_25_82110,fia_component_v1|4_2_25_82110|2236670010690,AZ,1,2236670010690,547679066126144,2001-04-04,2001-04-04,2001-04-04,2021-12-10,2021-12-10,2021-12-10,exact_day_both_endpoints,2001-05-01,2021-12-01,248,248,35565.8,143.410483870968,0,267.3,TRUE,complete
fia_component_v1|4_1_19_81625|2250308010690|1,4_1_19_81625,fia_component_v1|4_1_19_81625|2250308010690,AZ,1,2250308010690,667885809126144,2002-03-14,2002-03-14,2002-03-14,2023-04-24,2023-04-24,2023-04-24,exact_day_both_endpoints,2002-04-01,2023-04-01,253,253,35372.4,139.81185770751,0,269.2,TRUE,complete
fia_component_v1|4_1_9_84928|2260279010690|1,4_1_9_84928,fia_component_v1|4_1_9_84928|2260279010690,AZ,1,2260279010690,667887378126144,2003-04-21,2003-04-21,2003-04-21,2023-11-06,2023-11-06,2023-11-06,exact_day_both_endpoints,2003-05-01,2023-11-01,247,247,35212.6,142.561133603239,1.7,277.1,TRUE,complete
fia_component_v1|4_1_3_88858|2225322010690|1,4_1_3_88858,fia_component_v1|4_1_3_88858|2225322010690,AZ,1,2225322010690,547679558126144,2001-03-06,2001-03-06,2001-03-06,2023-11-29,2023-11-29,2023-11-29,exact_day_both_endpoints,2001-04-01,2023-11-01,272,272,34847.4,128.115441176471,0,259.4,TRUE,complete
fia_component_v1|4_1_11_82245|2245996010690|1,4_1_11_82245,fia_component_v1|4_1_11_82245|2245996010690,AZ,1,2245996010690,667886268126144,2002-02-11,2002-02-11,2002-02-11,2023-10-14,2023-10-14,2023-10-14,exact_day_both_endpoints,2002-03-01,2023-10-01,260,260,34749.3,133.651153846154,0,262.2,TRUE,complete
fia_component_v1|4_1_3_80502|2224861010690|1,4_1_3_80502,fia_component_v1|4_1_3_80502|2224861010690,AZ,1,2224861010690,547679559126144,2001-11-27,2001-11-27,2001-11-27,2024-01-25,2024-01-25,2024-01-25,exact_day_both_endpoints,2001-12-01,2024-01-01,266,266,34694.9,130.431954887218,0,262.8,TRUE,complete
fia_component_v1|4_1_19_82828|2264779010690|1,4_1_19_82828,fia_component_v1|4_1_19_82828|2264779010690,AZ,1,2264779010690,667886957126144,2003-04-23,2003-04-23,2003-04-23,2023-03-22,2023-03-22,2023-03-22,exact_day_both_endpoints,2003-05-01,2023-03-01,239,239,34508,144.384937238494,0,273.1,TRUE,complete
fia_component_v1|4_2_7_89044|2244823010690|1,4_2_7_89044,fia_component_v1|4_2_7_89044|2244823010690,AZ,1,2244823010690,667885947126144,2002-02-13,2002-02-13,2002-02-13,2023-11-01,2023-11-01,2023-11-01,exact_day_both_endpoints,2002-03-01,2023-11-01,261,261,34416.9,131.865517241379,0,272.7,TRUE,complete
fia_component_v1|4_2_15_82724|2232533010690|1,4_2_15_82724,fia_component_v1|4_2_15_82724|2232533010690,AZ,1,2232533010690,547678930126144,2001-04-04,2001-04-04,2001-04-04,2021-05-29,2021-05-29,2021-05-29,exact_day_both_endpoints,2001-05-01,2021-05-01,241,241,34236.1,142.058506224066,0,282.1,TRUE,complete
fia_component_v1|4_2_15_87946|2263015010690|1,4_2_15_87946,fia_component_v1|4_2_15_87946|2263015010690,AZ,1,2263015010690,667886843126144,2003-04-21,2003-04-21,2003-04-21,2023-10-27,2023-10-27,2023-10-27,exact_day_both_endpoints,2003-05-01,2023-10-01,246,246,34206.7,139.05162601626,0,267.5,TRUE,complete
fia_component_v1|4_1_9_91549|2245889010690|1,4_1_9_91549,fia_component_v1|4_1_9_91549|2245889010690,AZ,1,2245889010690,667886145126144,2002-10-25,2002-10-25,2002-10-25,2022-12-07,2022-12-07,2022-12-07,exact_day_both_endpoints,2002-11-01,2022-12-01,242,242,33869.3,139.955785123967,2.7,275.4,TRUE,complete
fia_component_v1|4_2_15_86315|2232994010690|1,4_2_15_86315,fia_component_v1|4_2_15_86315|2232994010690,AZ,1,2232994010690,547678972126144,2001-03-13,2001-03-13,2001-03-13,2021-11-22,2021-11-22,2021-11-22,exact_day_both_endpoints,2001-04-01,2021-11-01,248,248,33821.4,136.376612903226,0,267.9,TRUE,complete
fia_component_v1|4_2_15_82925|2232558010690|1,4_2_15_82925,fia_component_v1|4_2_15_82925|2232558010690,AZ,1,2232558010690,547678984126144,2001-03-16,2001-03-16,2001-03-16,2021-10-14,2021-10-14,2021-10-14,exact_day_both_endpoints,2001-04-01,2021-10-01,247,247,33736.7,136.585829959514,0,269.6,TRUE,complete
fia_component_v1|4_1_3_83124|2240077010690|1,4_1_3_83124,fia_component_v1|4_1_3_83124|2240077010690,AZ,1,2240077010690,667886232126144,2002-11-18,2002-11-18,2002-11-18,2023-11-27,2023-11-27,2023-11-27,exact_day_both_endpoints,2002-12-01,2023-11-01,252,252,33496.4,132.922222222222,0,264.2,TRUE,complete
fia_component_v1|4_1_3_87188|2240388010690|1,4_1_3_87188,fia_component_v1|4_1_3_87188|2240388010690,AZ,1,2240388010690,667886136126144,2002-11-18,2002-11-18,2002-11-18,2023-06-09,2023-06-09,2023-06-09,exact_day_both_endpoints,2002-12-01,2023-06-01,247,247,33356.9,135.048178137652,13,265.1,TRUE,complete
fia_component_v1|4_1_3_81223|2239778010690|1,4_1_3_81223,fia_component_v1|4_1_3_81223|2239778010690,AZ,1,2239778010690,667885283126144,2002-11-06,2002-11-06,2002-11-06,2023-11-18,2023-11-18,2023-11-18,exact_day_both_endpoints,2002-12-01,2023-11-01,252,252,33348.8,132.336507936508,0,266.9,TRUE,complete
fia_component_v1|4_1_19_87003|2235501010690|1,4_1_19_87003,fia_component_v1|4_1_19_87003|2235501010690,AZ,1,2235501010690,547678708126144,2001-03-06,2001-03-06,2001-03-06,2023-04-25,2023-04-25,2023-04-25,exact_day_both_endpoints,2001-04-01,2023-04-01,265,265,33080.4,124.831698113208,0,258.3,TRUE,complete
